term,estimate,std_error
const,85702.12500000009,22733.06680082913
rtk_on,-4992.4166666665915,20333.073081479073
factor_b_on,-24944.08333333342,20333.07308147908
interaction_on,2897.5000000000673,28755.30771655102
task_repo_task_002,-1597.3750000000807,24902.826976171862
task_repo_task_003,-32403.375000000033,24902.826976171862
task_repo_task_004,-27661.00000000008,24902.826976171862
task_repo_task_005,-49176.87500000005,24902.826976171855
task_repo_task_006,-19519.375000000036,24902.826976171862
seed_52,-5188.249999999993,14377.653858275502
