term,estimate,std_error
const,15.625000000000162,217.70358683602907
rtk_on,-123.58333333333317,164.56844294139657
factor_b_on,-124.05555555555559,164.56844294139668
interaction_on,-5.055555555555489,232.73492394634604
task_repo_task_002,205.12499999999977,201.5543564853752
task_repo_task_003,135.33333333333258,201.5543564853749
task_repo_task_004,72.58333333333336,201.55435648537517
task_repo_task_005,-103.91666666666724,201.55435648537468
task_repo_task_006,413.6250000000001,201.55435648537494
seed_13,-2.1879139542882646e-13,201.55435648537485
seed_17,951.3333333333326,201.5543564853746
seed_42,3.216789456117514e-13,201.55435648537514
seed_52,982.6666666666672,201.55435648537514
seed_99,-7.654514401012019e-13,201.5543564853751
