run_id,task_id,seed,rtk,factor_key,factor_b,rtk_on,factor_b_on,pt,gt,success,interaction_on
e1b_rtk_cod-repo_task_001-seed07-rtk0-off-cod,repo_task_001,7,off,reasoning,cod,0,1,204.0,11.0,True,0
e1b_rtk_cod-repo_task_001-seed07-rtk0-off-standard,repo_task_001,7,off,reasoning,standard,0,0,98.0,11.0,True,0
e1b_rtk_cod-repo_task_001-seed07-rtk1-off-cod,repo_task_001,7,on,reasoning,cod,1,1,163.0,11.0,True,1
e1b_rtk_cod-repo_task_001-seed07-rtk1-off-standard,repo_task_001,7,on,reasoning,standard,1,0,57.0,11.0,True,0
e1b_rtk_cod-repo_task_001-seed13-rtk0-off-cod,repo_task_001,13,off,reasoning,cod,0,1,204.0,11.0,True,0
e1b_rtk_cod-repo_task_001-seed13-rtk0-off-standard,repo_task_001,13,off,reasoning,standard,0,0,98.0,11.0,True,0
e1b_rtk_cod-repo_task_001-seed13-rtk1-off-cod,repo_task_001,13,on,reasoning,cod,1,1,163.0,11.0,True,1
e1b_rtk_cod-repo_task_001-seed13-rtk1-off-standard,repo_task_001,13,on,reasoning,standard,1,0,57.0,11.0,True,0
e1b_rtk_cod-repo_task_001-seed17-rtk0-off-cod,repo_task_001,17,off,reasoning,cod,0,1,566.0,166.0,False,0
e1b_rtk_cod-repo_task_001-seed17-rtk0-off-standard,repo_task_001,17,off,reasoning,standard,0,0,2793.0,542.0,True,0
e1b_rtk_cod-repo_task_001-seed17-rtk1-off-cod,repo_task_001,17,on,reasoning,cod,1,1,591.0,302.0,False,1
e1b_rtk_cod-repo_task_001-seed17-rtk1-off-standard,repo_task_001,17,on,reasoning,standard,1,0,1031.0,306.0,True,0
e1b_rtk_cod-repo_task_001-seed42-rtk0-off-cod,repo_task_001,42,off,reasoning,cod,0,1,204.0,11.0,True,0
e1b_rtk_cod-repo_task_001-seed42-rtk0-off-standard,repo_task_001,42,off,reasoning,standard,0,0,98.0,11.0,True,0
e1b_rtk_cod-repo_task_001-seed42-rtk1-off-cod,repo_task_001,42,on,reasoning,cod,1,1,163.0,11.0,True,1
e1b_rtk_cod-repo_task_001-seed42-rtk1-off-standard,repo_task_001,42,on,reasoning,standard,1,0,57.0,11.0,True,0
e1b_rtk_cod-repo_task_001-seed52-rtk0-off-cod,repo_task_001,52,off,reasoning,cod,0,1,574.0,175.0,False,0
e1b_rtk_cod-repo_task_001-seed52-rtk0-off-standard,repo_task_001,52,off,reasoning,standard,0,0,3167.0,1151.0,True,0
e1b_rtk_cod-repo_task_001-seed52-rtk1-off-cod,repo_task_001,52,on,reasoning,cod,1,1,63104.0,1480.0,False,1
e1b_rtk_cod-repo_task_001-seed52-rtk1-off-standard,repo_task_001,52,on,reasoning,standard,1,0,5216.0,811.0,True,0
e1b_rtk_cod-repo_task_001-seed99-rtk0-off-cod,repo_task_001,99,off,reasoning,cod,0,1,204.0,11.0,True,0
e1b_rtk_cod-repo_task_001-seed99-rtk0-off-standard,repo_task_001,99,off,reasoning,standard,0,0,98.0,11.0,True,0
e1b_rtk_cod-repo_task_001-seed99-rtk1-off-cod,repo_task_001,99,on,reasoning,cod,1,1,163.0,11.0,True,1
e1b_rtk_cod-repo_task_001-seed99-rtk1-off-standard,repo_task_001,99,on,reasoning,standard,1,0,57.0,11.0,True,0
e1b_rtk_cod-repo_task_002-seed07-rtk0-off-cod,repo_task_002,7,off,reasoning,cod,0,1,204.0,11.0,True,0
e1b_rtk_cod-repo_task_002-seed07-rtk0-off-standard,repo_task_002,7,off,reasoning,standard,0,0,98.0,11.0,True,0
e1b_rtk_cod-repo_task_002-seed07-rtk1-off-cod,repo_task_002,7,on,reasoning,cod,1,1,163.0,11.0,True,1
e1b_rtk_cod-repo_task_002-seed07-rtk1-off-standard,repo_task_002,7,on,reasoning,standard,1,0,57.0,11.0,True,0
e1b_rtk_cod-repo_task_002-seed13-rtk0-off-cod,repo_task_002,13,off,reasoning,cod,0,1,204.0,11.0,True,0
e1b_rtk_cod-repo_task_002-seed13-rtk0-off-standard,repo_task_002,13,off,reasoning,standard,0,0,98.0,11.0,True,0
e1b_rtk_cod-repo_task_002-seed13-rtk1-off-cod,repo_task_002,13,on,reasoning,cod,1,1,163.0,11.0,True,1
e1b_rtk_cod-repo_task_002-seed13-rtk1-off-standard,repo_task_002,13,on,reasoning,standard,1,0,57.0,11.0,True,0
e1b_rtk_cod-repo_task_002-seed17-rtk0-off-cod,repo_task_002,17,off,reasoning,cod,0,1,126.0,40.0,False,0
e1b_rtk_cod-repo_task_002-seed17-rtk0-off-standard,repo_task_002,17,off,reasoning,standard,0,0,88067.0,3714.0,False,0
e1b_rtk_cod-repo_task_002-seed17-rtk1-off-cod,repo_task_002,17,on,reasoning,cod,1,1,799.0,225.0,False,1
e1b_rtk_cod-repo_task_002-seed17-rtk1-off-standard,repo_task_002,17,on,reasoning,standard,1,0,4676.0,633.0,True,0
e1b_rtk_cod-repo_task_002-seed42-rtk0-off-cod,repo_task_002,42,off,reasoning,cod,0,1,204.0,11.0,True,0
e1b_rtk_cod-repo_task_002-seed42-rtk0-off-standard,repo_task_002,42,off,reasoning,standard,0,0,98.0,11.0,True,0
e1b_rtk_cod-repo_task_002-seed42-rtk1-off-cod,repo_task_002,42,on,reasoning,cod,1,1,163.0,11.0,True,1
