experiment,run_id,task_id,seed,rtk_on,factor_key,factor_b_on,factor_b_value,compaction_trigger,pt,gt,success,turns,n_tool_calls,ran_tests,compaction_activated,total_compaction_gt,rtk_supported_calls,rtk_fallback_calls,rtk_fidelity,total_tool_output_tokens,traj_signature,deg_zero_tools,deg_turn1,deg_no_tests,deg_dup_in_cell,degenerate
e1_rtk_compaction,e1_rtk_compaction-repo_task_001-seed17-rtk0-off-standard,repo_task_001,17,0,compaction,0,off,,90849.0,5246.0,False,30,30,False,False,0,0,0,0.0,441,c6e811ae210ea140,False,False,True,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_001-seed17-rtk0-on-standard,repo_task_001,17,0,compaction,1,on,,5863.0,647.0,True,8,7,True,False,0,0,0,0.0,404,01493dc5147fcb9d,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_001-seed17-rtk1-off-standard,repo_task_001,17,1,compaction,0,off,,3713.0,618.0,True,6,5,False,False,0,0,5,-1.0,201,da6c8b1ff1dbd9f9,False,False,True,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_001-seed17-rtk1-on-standard,repo_task_001,17,1,compaction,1,on,,12843.0,1899.0,True,10,9,True,False,0,3,6,-0.3333,264,ea7e4cc11aead65e,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_001-seed52-rtk0-off-standard,repo_task_001,52,0,compaction,0,off,,199149.0,11040.0,False,30,30,True,False,0,0,0,0.0,2757,86d66fc319083592,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_001-seed52-rtk0-on-standard,repo_task_001,52,0,compaction,1,on,,79685.0,8404.0,True,30,30,True,True,3,0,0,0.0,564,6d761527be8cfb82,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_001-seed52-rtk1-off-standard,repo_task_001,52,1,compaction,0,off,,83670.0,3539.0,False,30,30,False,False,0,0,30,-1.0,1645,449b210b64ae2781,False,False,True,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_001-seed52-rtk1-on-standard,repo_task_001,52,1,compaction,1,on,,75141.0,4615.0,False,30,30,True,True,2,1,29,-0.9333,3106,842bc357bbb3f3cf,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_002-seed17-rtk0-off-standard,repo_task_002,17,0,compaction,0,off,,2659.0,463.0,False,5,4,True,False,0,0,0,0.0,192,49a1c5add8e42df4,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_002-seed17-rtk0-on-standard,repo_task_002,17,0,compaction,1,on,,74133.0,7174.0,False,30,30,True,True,3074,0,0,0.0,5226,9dace94bcafc3cd3,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_002-seed17-rtk1-off-standard,repo_task_002,17,1,compaction,0,off,,119431.0,8604.0,False,30,30,True,False,0,2,28,-0.8667,394,d86d76de7b85bf7b,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_002-seed17-rtk1-on-standard,repo_task_002,17,1,compaction,1,on,,62137.0,3571.0,False,30,30,True,True,1,9,21,-0.4,681,434e7feac27c1a7a,False,False,False,False,False
e1_rtk_compaction,e1_rtk_compaction-repo_task_002-seed52-rtk0-off-standard,repo_task_002,52,0,compaction,0,off,,79504.0,1752.0,False,30,30,True,False,0,0,0,0.0,3446,ae63a2e151bf64aa,False,False,False,False,False
