term,estimate,std_error
const,85702.12500000007,22733.066800829143
rtk_on,-4992.416666666552,20333.07308147907
factor_b_on,-24944.08333333325,20333.07308147907
interaction_on,2897.4999999998795,28755.307716551004
task_repo_task_002,-1597.3750000001528,24902.82697617187
task_repo_task_003,-32403.375000000127,24902.82697617187
task_repo_task_004,-27661.00000000011,24902.826976171866
task_repo_task_005,-49176.87500000012,24902.82697617187
task_repo_task_006,-19519.37500000013,24902.82697617187
seed_52,-5188.249999999979,14377.653858275502
