run_id,task_id,seed,rtk,factor_key,factor_b,rtk_on,factor_b_on,pt,gt,success,interaction_on
e1_rtk_compaction-repo_task_001-seed17-rtk0-off-standard,repo_task_001,17,off,compaction,off,0,0,90849.0,5246.0,False,0
e1_rtk_compaction-repo_task_001-seed17-rtk0-on-standard,repo_task_001,17,off,compaction,on,0,1,5863.0,647.0,True,0
e1_rtk_compaction-repo_task_001-seed17-rtk1-off-standard,repo_task_001,17,on,compaction,off,1,0,3713.0,618.0,True,0
e1_rtk_compaction-repo_task_001-seed17-rtk1-on-standard,repo_task_001,17,on,compaction,on,1,1,12843.0,1899.0,True,1
e1_rtk_compaction-repo_task_001-seed52-rtk0-off-standard,repo_task_001,52,off,compaction,off,0,0,199149.0,11040.0,False,0
e1_rtk_compaction-repo_task_001-seed52-rtk0-on-standard,repo_task_001,52,off,compaction,on,0,1,79685.0,8404.0,True,0
e1_rtk_compaction-repo_task_001-seed52-rtk1-off-standard,repo_task_001,52,on,compaction,off,1,0,83670.0,3539.0,False,0
e1_rtk_compaction-repo_task_001-seed52-rtk1-on-standard,repo_task_001,52,on,compaction,on,1,1,75141.0,4615.0,False,1
e1_rtk_compaction-repo_task_002-seed17-rtk0-off-standard,repo_task_002,17,off,compaction,off,0,0,2659.0,463.0,False,0
e1_rtk_compaction-repo_task_002-seed17-rtk0-on-standard,repo_task_002,17,off,compaction,on,0,1,74133.0,7174.0,False,0
e1_rtk_compaction-repo_task_002-seed17-rtk1-off-standard,repo_task_002,17,on,compaction,off,1,0,119431.0,8604.0,False,0
e1_rtk_compaction-repo_task_002-seed17-rtk1-on-standard,repo_task_002,17,on,compaction,on,1,1,62137.0,3571.0,False,1
e1_rtk_compaction-repo_task_002-seed52-rtk0-off-standard,repo_task_002,52,off,compaction,off,0,0,79504.0,1752.0,False,0
e1_rtk_compaction-repo_task_002-seed52-rtk0-on-standard,repo_task_002,52,off,compaction,on,0,1,73402.0,8325.0,True,0
e1_rtk_compaction-repo_task_002-seed52-rtk1-off-standard,repo_task_002,52,on,compaction,off,1,0,64004.0,3302.0,False,0
e1_rtk_compaction-repo_task_002-seed52-rtk1-on-standard,repo_task_002,52,on,compaction,on,1,1,62864.0,2434.0,False,1
e1_rtk_compaction-repo_task_003-seed17-rtk0-off-standard,repo_task_003,17,off,compaction,off,0,0,12706.0,871.0,False,0
e1_rtk_compaction-repo_task_003-seed17-rtk0-on-standard,repo_task_003,17,off,compaction,on,0,1,59079.0,1585.0,True,0
