term,estimate,std_error
const,-118.6805555557777,4934.144542716052
rtk_on,2082.305555555551,2848.7296799576434
factor_b_on,-118.6805555553394,4934.1445427160825
interaction_on,2082.305555555557,2848.729679957644
task_repo_task_002,-7823.583333333279,9868.289085432129
task_repo_task_003,-16168.916666666657,9868.289085432138
task_repo_task_004,-1393.4999999999698,9868.28908543213
task_repo_task_005,5212.333333333334,9868.289085432136
task_repo_task_006,9569.000000000018,9868.289085432134
seed_13,-1.0751067754910179e-11,9868.289085432132
seed_17,51766.416666666635,9868.289085432136
seed_42,-2.643985136049319e-11,9868.289085432136
seed_52,42025.91666666667,9868.289085432134
seed_99,-1.7799651693650373e-11,9868.289085432129
