run_id,task_id,seed,rtk,factor_b,pt,gt,success
e1b_rtk_cod-repo_task_001-seed07-rtk0-off-cod,repo_task_001,7,off,off,204,11,True
e1b_rtk_cod-repo_task_001-seed07-rtk0-off-standard,repo_task_001,7,off,off,98,11,True
e1b_rtk_cod-repo_task_001-seed07-rtk1-off-cod,repo_task_001,7,on,off,163,11,True
e1b_rtk_cod-repo_task_001-seed07-rtk1-off-standard,repo_task_001,7,on,off,57,11,True
e1b_rtk_cod-repo_task_001-seed13-rtk0-off-cod,repo_task_001,13,off,off,204,11,True
e1b_rtk_cod-repo_task_001-seed13-rtk0-off-standard,repo_task_001,13,off,off,98,11,True
e1b_rtk_cod-repo_task_001-seed13-rtk1-off-cod,repo_task_001,13,on,off,163,11,True
e1b_rtk_cod-repo_task_001-seed13-rtk1-off-standard,repo_task_001,13,on,off,57,11,True
e1b_rtk_cod-repo_task_001-seed42-rtk0-off-cod,repo_task_001,42,off,off,204,11,True
e1b_rtk_cod-repo_task_001-seed42-rtk0-off-standard,repo_task_001,42,off,off,98,11,True
e1b_rtk_cod-repo_task_001-seed42-rtk1-off-cod,repo_task_001,42,on,off,163,11,True
e1b_rtk_cod-repo_task_001-seed42-rtk1-off-standard,repo_task_001,42,on,off,57,11,True
e1b_rtk_cod-repo_task_001-seed99-rtk0-off-cod,repo_task_001,99,off,off,204,11,True
e1b_rtk_cod-repo_task_001-seed99-rtk0-off-standard,repo_task_001,99,off,off,98,11,True
e1b_rtk_cod-repo_task_001-seed99-rtk1-off-cod,repo_task_001,99,on,off,163,11,True
e1b_rtk_cod-repo_task_001-seed99-rtk1-off-standard,repo_task_001,99,on,off,57,11,True
e1b_rtk_cod-repo_task_002-seed07-rtk0-off-cod,repo_task_002,7,off,off,204,11,True
e1b_rtk_cod-repo_task_002-seed07-rtk0-off-standard,repo_task_002,7,off,off,98,11,True
e1b_rtk_cod-repo_task_002-seed07-rtk1-off-cod,repo_task_002,7,on,off,163,11,True
e1b_rtk_cod-repo_task_002-seed07-rtk1-off-standard,repo_task_002,7,on,off,57,11,True
e1b_rtk_cod-repo_task_002-seed13-rtk0-off-cod,repo_task_002,13,off,off,204,11,True
e1b_rtk_cod-repo_task_002-seed13-rtk0-off-standard,repo_task_002,13,off,off,98,11,True
e1b_rtk_cod-repo_task_002-seed13-rtk1-off-cod,repo_task_002,13,on,off,163,11,True
e1b_rtk_cod-repo_task_002-seed13-rtk1-off-standard,repo_task_002,13,on,off,57,11,True
e1b_rtk_cod-repo_task_002-seed42-rtk0-off-cod,repo_task_002,42,off,off,204,11,True
e1b_rtk_cod-repo_task_002-seed42-rtk0-off-standard,repo_task_002,42,off,off,98,11,True
e1b_rtk_cod-repo_task_002-seed42-rtk1-off-cod,repo_task_002,42,on,off,163,11,True
e1b_rtk_cod-repo_task_002-seed42-rtk1-off-standard,repo_task_002,42,on,off,57,11,True
e1b_rtk_cod-repo_task_002-seed99-rtk0-off-cod,repo_task_002,99,off,off,204,11,True
e1b_rtk_cod-repo_task_002-seed99-rtk0-off-standard,repo_task_002,99,off,off,98,11,True
e1b_rtk_cod-repo_task_002-seed99-rtk1-off-cod,repo_task_002,99,on,off,163,11,True
e1b_rtk_cod-repo_task_002-seed99-rtk1-off-standard,repo_task_002,99,on,off,57,11,True
e1b_rtk_cod-repo_task_003-seed07-rtk0-off-cod,repo_task_003,7,off,off,204,11,True
e1b_rtk_cod-repo_task_003-seed07-rtk0-off-standard,repo_task_003,7,off,off,98,11,True
e1b_rtk_cod-repo_task_003-seed07-rtk1-off-cod,repo_task_003,7,on,off,163,11,True
e1b_rtk_cod-repo_task_003-seed07-rtk1-off-standard,repo_task_003,7,on,off,57,11,True
e1b_rtk_cod-repo_task_003-seed13-rtk0-off-cod,repo_task_003,13,off,off,204,11,True
e1b_rtk_cod-repo_task_003-seed13-rtk0-off-standard,repo_task_003,13,off,off,98,11,True
e1b_rtk_cod-repo_task_003-seed13-rtk1-off-cod,repo_task_003,13,on,off,163,11,True
e1b_rtk_cod-repo_task_003-seed13-rtk1-off-standard,repo_task_003,13,on,off,57,11,True
e1b_rtk_cod-repo_task_003-seed42-rtk0-off-cod,repo_task_003,42,off,off,204,11,True
